first end,22
protector cover,20
strap section,17
second end,16
end protector,14
protector support,11
section first,10
side first,10
first strap,8
open posit,8
first side,8
tear end,8
top end,8
second strap,8
second side,8
front surfac,8
cover front,8
neck user,7
garment protector,7
adhes section,6
tearabl perfor,6
least one,5
first second,4
end front,4
posit storag,4
cover second,4
strap tear,4
close posit,4
pouch posit,4
end bottom,4
user wherein,4
front back,4
cover pouch,4
wherein strap,4
join second,4
portion chest,4
storag second,4
includ least,4
end support,4
end portion,4
downwardli along,4
back form,4
support posit,4
user b,4
liquid move,4
end second,4
dispos garment,4
one first,4
bottom end,4
surfac first,4
posit top,4
form fold,4
pouch top,4
support compris,4
support first,4
along front,4
c pouch,4
wherein protector,4
first close,4
collect particul,4
posit second,4
end join,4
surfac protector,4
posit collect,4
surfac back,4
end open,4
chest stomach,4
protector neck,4
stomach user,4
side second,4
front portion,4
protector compris,4
fold one,4
perfor torn,4
particul liquid,4
compris protector,4
posit cover,4
second open,4
join first,4
one tearabl,4
section tear,4
back surfac,4
move downwardli,4
b protector,3
support adapt,3
adapt support,3
support garment,3
cover dispos,3
strap includ,3
produc second,2
strap first,2
cover around,2
includ adhes,2
user c,2
posit strap,2
extend first,2
section second,2
end strip,2
side protector,2
strip join,2
length strap,2
two strap,2
end chang,2
end first,2
strap wherein,2
chang length,2
cover wherein,2
end joinabl,2
end posit,2
end includ,2
section joinabl,2
joinabl adhes,2
around back,2
joinabl form,2
compris strap,2
end strap,2
section posit,2
remov protector,2
back neck,2
end produc,2
posit extend,2
form strap,2
user second,2
compris two,2
torn permit,2
portion second,2
strap join,2
torn first,2
portion first,2
perfor least,1
section tearabl,1
perfor adhes,1
permit quick,1
quick remov,1
strap c,1
section c,1
strap tearabl,1
permit remov,1
section includ,1
protector use,1
b neck,1
use user,1
one adhes,1
